symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2016-07-13 00:00:00+00:00,52.78,53.2,52.7,52.9,8115130,51.9498647817,52.3632589311,51.8711230389,52.0679773958,8115130,0.0,1.0
NVDA,2016-07-14 00:00:00+00:00,53.32,53.8,52.62,53.06,7922283,52.4813715452,52.9538220018,51.7923812962,52.2254608813,7922283,0.0,1.0
NVDA,2016-07-15 00:00:00+00:00,52.7,52.935,51.841,52.64,10715357,51.8711230389,52.1024269082,51.0256335761,51.8120667318,10715357,0.0,1.0
NVDA,2016-07-18 00:00:00+00:00,52.97,53.43,52.77,53.35,6324838,52.1368764207,52.5896414415,51.9400220638,52.5108996988,6324838,0.0,1.0
NVDA,2016-07-19 00:00:00+00:00,53.52,53.7293,52.84,52.94,9566250,52.6782259021,52.8842339866,52.0089210887,52.1073482672,9566250,0.0,1.0
NVDA,2016-07-20 00:00:00+00:00,54.22,54.505,53.48,53.7,7411502,53.3672161512,53.6477336098,52.6388550308,52.8553948233,7411502,0.0,1.0
NVDA,2016-07-21 00:00:00+00:00,53.22,54.27,53.04,54.1,9032697,52.3829443668,53.4164297404,52.2057754456,53.2491035371,9032697,0.0,1.0
NVDA,2016-07-22 00:00:00+00:00,54.67,54.67,53.02,53.41,7894165,53.8101384542,53.8101384542,52.1860900099,52.5699560058,7894165,0.0,1.0
NVDA,2016-07-25 00:00:00+00:00,55.68,55.81,54.76,55.0,7813211,54.8042529565,54.9322082885,53.8987229148,54.1349481431,7813211,0.0,1.0
NVDA,2016-07-26 00:00:00+00:00,56.63,56.92,56.09,56.17,12862739,55.7393111517,56.0247499692,55.2078043881,55.2865461308,12862739,0.0,1.0
NVDA,2016-07-27 00:00:00+00:00,56.06,57.22,55.72,57.12,11166886,55.1782762346,56.3200315045,54.8436238279,56.221604326,11166886,0.0,1.0
NVDA,2016-07-28 00:00:00+00:00,56.18,56.6,56.0137,56.19,5547934,55.2963888487,55.7097829981,55.1327044509,55.3062315665,5547934,0.0,1.0
NVDA,2016-07-29 00:00:00+00:00,57.1,57.25,55.38,56.39,10239664,56.2019188904,56.349559658,54.5089714212,55.5030859234,10239664,0.0,1.0
NVDA,2016-08-01 00:00:00+00:00,56.73,57.55,56.36,57.34,7527970,55.8377383301,56.6448411933,55.4735577699,56.4381441186,7527970,0.0,1.0
NVDA,2016-08-02 00:00:00+00:00,56.04,57.03,55.5,57.0,7068720,55.1585907989,56.1330198654,54.6270840353,56.1034917119,7068720,0.0,1.0
NVDA,2016-08-03 00:00:00+00:00,56.19,56.3,55.66,55.97,7495709,55.3062315665,55.4145014628,54.7845675208,55.089691774,7495709,0.0,1.0
NVDA,2016-08-04 00:00:00+00:00,57.23,57.49,56.35,56.46,6817803,56.3298742223,56.5857848863,55.463715052,55.5719849483,6817803,0.0,1.0
NVDA,2016-08-05 00:00:00+00:00,58.2,58.23,57.61,57.89,9289735,57.2846178532,57.3141460067,56.7038975004,56.9794936,9289735,0.0,1.0
NVDA,2016-08-08 00:00:00+00:00,58.74,59.14,58.12,59.0,7626603,57.8161246168,58.2098333306,57.2058761105,58.0720352808,7626603,0.0,1.0
NVDA,2016-08-09 00:00:00+00:00,58.89,59.46,58.74,59.03,9308559,57.9637653845,58.5248003016,57.8161246168,58.1015634343,9308559,0.0,1.0
NVDA,2016-08-10 00:00:00+00:00,58.51,59.5,58.3237,59.41,9393453,57.5897421064,58.564171173,57.4063722729,58.4755867124,9393453,0.0,1.0
NVDA,2016-08-11 00:00:00+00:00,59.7,59.95,58.7,58.82,17026556,58.7610255298,59.007093476,57.7767537454,57.8948663596,17026556,0.0,1.0
NVDA,2016-08-12 00:00:00+00:00,63.04,63.38,60.63,61.9,35643642,62.0484932898,62.3831456965,59.6763982894,60.9264234556,35643642,0.0,1.0
NVDA,2016-08-15 00:00:00+00:00,62.98,63.4964,62.1302,63.11,14332617,61.9894369827,62.4977149322,61.1530028203,62.1173923147,14332617,0.0,1.0
NVDA,2016-08-16 00:00:00+00:00,62.6,62.99,62.41,62.89,7191345,61.6154137047,61.9992797006,61.4284020656,61.9008525221,7191345,0.0,1.0
NVDA,2016-08-17 00:00:00+00:00,61.15,62.74,60.655,62.6,14880304,60.1882196173,61.7532117545,59.701005084,61.6154137047,14880304,0.0,1.0
NVDA,2016-08-18 00:00:00+00:00,62.1,62.2,60.82,61.06,8292095,61.1232778125,61.2217049909,59.8634099284,60.0996351567,8292095,0.0,1.0
